0
567.87, 323.26, 85.82, 112.60, 2.32, 24.84, 0.49, 49.00
568.48, 324.07, 86.91, 114.18, 3.54, 37.96, -0.24, -24.48
567.99, 323.43, 85.94, 112.78, 2.81, 30.08, 0.12, 12.25
568.97, 324.72, 85.94, 112.78, 2.56, 27.46, -0.61, -61.18
568.24, 323.75, 86.67, 113.83, 3.17, 34.02, 0.49, 49.00
569.58, 325.53, 86.91, 114.18, 2.81, 30.08, 0.49, 49.00
567.50, 322.78, 86.79, 114.01, 2.69, 28.77, 0.00, 0.00
569.34, 325.21, 87.16, 114.53, 1.83, 19.60, -0.12, -12.24
567.14, 322.30, 86.43, 113.48, 2.81, 30.08, 0.49, 49.00
568.12, 323.59, 85.33, 111.90, 3.05, 32.71, 0.12, 12.25
568.12, 323.59, 86.79, 114.01, 2.56, 27.46, -0.37, -36.72
568.36, 323.91, 86.06, 112.95, 2.93, 31.40, -0.85, -85.63


1K
929.32, 3331.42, 485.23, 1132.51, 28.93, 318.31, 1.10, 110.31
929.08, 3318.67, 484.01, 1126.97, 29.17, 321.08, 1.34, 134.86
929.32, 3331.42, 484.86, 1130.84, 29.91, 329.39, 0.49, 49.00
929.20, 3325.04, 485.23, 1132.51, 28.93, 318.31, 0.61, 61.26
930.79, 3409.88, 484.62, 1129.74, 28.08, 308.64, 0.12, 12.25
929.57, 3344.26, 483.76, 1125.87, 28.93, 318.31, 0.61, 61.26
929.44, 3337.83, 485.60, 1134.17, 28.81, 316.93, -0.24, -24.48
930.30, 3383.35, 485.60, 1134.17, 29.17, 321.08, 0.24, 24.49
929.93, 3363.70, 484.99, 1131.40, 29.30, 322.46, 0.98, 98.05
929.81, 3357.20, 483.76, 1125.87, 28.93, 318.31, 0.24, 24.49
929.57, 3344.26, 484.86, 1130.84, 28.20, 310.02, 1.83, 183.99
929.93, 3363.70, 484.62, 1129.74, 29.42, 323.85, 1.10, 110.31
928.96, 3312.33, 484.74, 1130.29, 29.42, 323.85, 0.49, 49.00
929.81, 3357.20, 485.84, 1135.28, 29.54, 325.23, -0.49, -48.95
930.30, 3383.35, 484.86, 1130.84, 30.03, 330.77, 0.12, 12.25
930.54, 3396.56, 484.37, 1128.63, 29.66, 326.62, 1.71, 171.71
929.93, 3363.70, 485.11, 1131.95, 29.17, 321.08, 1.22, 122.59
929.08, 3318.67, 485.72, 1134.73, 29.91, 329.39, 1.95, 196.29
928.34, 3280.96, 484.01, 1126.97, 29.79, 328.00, 2.93, 294.72


10K
989.99, 32014.91, 901.98, 11228.25, 232.79, 3238.91, 16.97, 1731.58
989.99, 32014.91, 901.61, 11181.11, 230.96, 3205.82, 10.62, 1076.76
990.48, 34241.17, 901.98, 11228.25, 229.61, 3181.65, 10.86, 1101.79
989.75, 31006.20, 900.88, 11087.90, 230.47, 3197.02, 10.25, 1039.24
989.38, 29606.11, 903.20, 11388.00, 229.98, 3188.23, 10.38, 1051.74
990.11, 32544.09, 902.59, 11307.62, 230.59, 3199.22, 8.67, 876.98
989.50, 30058.66, 902.34, 11275.75, 230.10, 3190.43, 10.62, 1076.76
990.23, 33090.91, 902.10, 11244.04, 230.35, 3194.82, 10.13, 1026.74
990.11, 32544.09, 902.22, 11259.87, 230.71, 3201.42, 8.91, 901.91
990.11, 32544.09, 902.95, 11355.72, 230.35, 3194.82, 9.28, 939.33
